english,chinese,spanish,french,german,russian,korean,arabic,category,cultural-sensitivity
honor,荣誉,honor,honneur,Ehre,честь,명예,شرف,social-relations,high
respect,尊重,respeto,respect,Respekt,уважение,존경,احترام,social-relations,medium
shame,羞耻,vergüenza,honte,Schande,позор,수치,عار,social-relations,high
face,面子,cara,face,Gesicht,лицо,체면,وجه,social-relations,high
elder-brother,哥哥,hermano-mayor,frère-aîné,älterer-Bruder,старший-брат,형,أخ-أكبر,social-relations,high
younger-brother,弟弟,hermano-menor,frère-cadet,jüngerer-Bruder,младший-брат,동생,أخ-أصغر,social-relations,high
elder-sister,姐姐,hermana-mayor,sœur-aînée,ältere-Schwester,старшая-сестра,언니,أخت-كبرى,social-relations,high
younger-sister,妹妹,hermana-menor,sœur-cadette,jüngere-Schwester,младшая-сестра,여동생,أخت-صغرى,social-relations,high
maternal-uncle,舅舅,tío-materno,oncle-maternel,Onkel-mütterlicherseits,дядя-по-матери,외삼촌,خال,social-relations,high
paternal-uncle,叔叔,tío-paterno,oncle-paternel,Onkel-väterlicherseits,дядя-по-отцу,삼촌,عم,social-relations,high
teacher,老师,maestro,professeur,Lehrer,учитель,선생님,معلم,social-relations,medium
student,学生,estudiante,étudiant,Student,студент,학생,طالب,social-relations,low
master,师傅,maestro,maître,Meister,мастер,스승,أستاذ,social-relations,high
apprentice,学徒,aprendiz,apprenti,Lehrling,ученик,제자,متدرب,social-relations,medium
mentor,导师,mentor,mentor,Mentor,наставник,멘토,مرشد,social-relations,medium
seniority,资历,antigüedad,ancienneté,Dienstalter,стаж,연공서열,أقدمية,social-relations,high
hierarchy,等级,jerarquía,hiérarchie,Hierarchie,иерархия,계층,تسلسل-هرمي,social-relations,medium
equality,平等,igualdad,égalité,Gleichheit,равенство,평등,مساواة,social-relations,medium
peer,同辈,compañero,pair,Kollege,коллега,동료,قرين,social-relations,low
superior,上级,superior,supérieur,Vorgesetzter,начальник,상사,رئيس,social-relations,medium
subordinate,下属,subordinado,subordonné,Untergebener,подчинённый,부하,مرؤوس,social-relations,medium
tea-ceremony,茶道,ceremonia-del-té,cérémonie-du-thé,Teezeremonie,чайная-церемония,다도,حفل-الشاي,cultural-practices,high
meditation,冥想,meditación,méditation,Meditation,медитация,명상,تأمل,cultural-practices,medium
prayer,祈祷,oración,prière,Gebet,молитва,기도,صلاة,cultural-practices,high
ritual,仪式,ritual,rituel,Ritual,ритуал,의식,طقوس,cultural-practices,medium
festival,节日,festival,festival,Festival,фестиваль,축제,مهرجان,cultural-practices,medium
celebration,庆祝,celebración,célébration,Feier,празднование,축하,احتفال,cultural-practices,low
holiday,假日,día-festivo,jour-férié,Feiertag,праздник,휴일,عطلة,cultural-practices,medium
mourning,哀悼,luto,deuil,Trauer,траур,애도,حداد,cultural-practices,high
gift-giving,送礼,dar-regalos,offrir-des-cadeaux,Geschenke-geben,дарение-подарков,선물하기,تقديم-الهدايا,cultural-practices,high
hospitality,好客,hospitalidad,hospitalité,Gastfreundschaft,гостеприимство,환대,ضيافة,cultural-practices,high
etiquette,礼仪,etiqueta,étiquette,Etikette,этикет,예절,آداب,cultural-practices,high
custom,习俗,costumbre,coutume,Brauch,обычай,관습,عرف,cultural-practices,medium
tradition,传统,tradición,tradition,Tradition,традиция,전통,تقليد,cultural-practices,medium
heritage,遗产,patrimonio,patrimoine,Erbe,наследие,유산,تراث,cultural-practices,medium
ancestry,祖先,ascendencia,ascendance,Abstammung,происхождение,혈통,نسب,cultural-practices,high
lineage,世系,linaje,lignée,Abstammungslinie,родословная,가계,نسب,cultural-practices,high
calligraphy,书法,caligrafía,calligraphie,Kalligraphie,каллиграфия,서예,خط,cultural-practices,high
self,自我,yo,soi,Selbst,я,자아,نفس,philosophical,high
identity,身份,identidad,identité,Identität,идентичность,정체성,هوية,philosophical,medium
consciousness,意识,consciencia,conscience,Bewusstsein,сознание,의식,وعي,philosophical,high
soul,灵魂,alma,âme,Seele,душа,영혼,روح,philosophical,high
spirit,精神,espíritu,esprit,Geist,дух,정신,روح,philosophical,high
fate,命运,destino,destin,Schicksal,судьба,운명,قدر,philosophical,high
destiny,天命,destino,destinée,Bestimmung,предназначение,숙명,مصير,philosophical,high
karma,因果,karma,karma,Karma,карма,업,كرمة,philosophical,high
fortune,运气,fortuna,fortune,Glück,удача,행운,حظ,philosophical,medium
luck,幸运,suerte,chance,Glück,везение,운,حظ,philosophical,medium
duty,责任,deber,devoir,Pflicht,долг,의무,واجب,philosophical,high
obligation,义务,obligación,obligation,Verpflichtung,обязательство,책임,التزام,philosophical,medium
responsibility,职责,responsabilidad,responsabilité,Verantwortung,ответственность,책무,مسؤولية,philosophical,medium
burden,负担,carga,fardeau,Last,бремя,부담,عبء,philosophical,medium
virtue,美德,virtud,vertu,Tugend,добродетель,덕,فضيلة,philosophical,high
morality,道德,moralidad,moralité,Moral,мораль,도덕,أخلاق,philosophical,medium
ethics,伦理,ética,éthique,Ethik,этика,윤리,أخلاقيات,philosophical,medium
righteousness,正义,rectitud,droiture,Rechtschaffenheit,праведность,의로움,استقامة,philosophical,high
enlightenment,觉悟,iluminación,illumination,Erleuchtung,просветление,깨달음,استنارة,philosophical,high
wisdom,智慧,sabiduría,sagesse,Weisheit,мудрость,지혜,حكمة,philosophical,medium
knowledge,知识,conocimiento,connaissance,Wissen,знание,지식,معرفة,philosophical,low
ignorance,无知,ignorancia,ignorance,Unwissenheit,невежество,무지,جهل,philosophical,medium
past,过去,pasado,passé,Vergangenheit,прошлое,과거,ماضي,temporal,low
present,现在,presente,présent,Gegenwart,настоящее,현재,حاضر,temporal,low
future,未来,futuro,futur,Zukunft,будущее,미래,مستقبل,temporal,low
eternity,永恒,eternidad,éternité,Ewigkeit,вечность,영원,أبدية,temporal,high
moment,瞬间,momento,moment,Moment,момент,순간,لحظة,temporal,medium
yesterday,昨天,ayer,hier,gestern,вчера,어제,أمس,temporal,low
today,今天,hoy,aujourd'hui,heute,сегодня,오늘,اليوم,temporal,low
tomorrow,明天,mañana,demain,morgen,завтра,내일,غدا,temporal,low
week,星期,semana,semaine,Woche,неделя,주,أسبوع,temporal,low
month,月,mes,mois,Monat,месяц,월,شهر,temporal,low
year,年,año,année,Jahr,год,년,سنة,temporal,low
childhood,童年,infancia,enfance,Kindheit,детство,어린-시절,طفولة,temporal,medium
youth,青年,juventud,jeunesse,Jugend,юность,청춘,شباب,temporal,medium
adulthood,成年,adultez,âge-adulte,Erwachsenenalter,зрелость,성인기,بلوغ,temporal,medium
old-age,老年,vejez,vieillesse,Alter,старость,노년,شيخوخة,temporal,medium
beginning,开始,comienzo,commencement,Anfang,начало,시작,بداية,temporal,low
middle,中间,medio,milieu,Mitte,середина,중간,وسط,temporal,low
end,结束,fin,fin,Ende,конец,끝,نهاية,temporal,low
cycle,循环,ciclo,cycle,Zyklus,цикл,순환,دورة,temporal,high
continuity,连续,continuidad,continuité,Kontinuität,непрерывность,연속성,استمرارية,temporal,medium
patience,耐心,paciencia,patience,Geduld,терпение,인내,صبر,temporal,high
urgency,紧迫,urgencia,urgence,Dringlichkeit,срочность,긴급,إلحاح,temporal,medium
delay,延迟,retraso,retard,Verzögerung,задержка,지연,تأخير,temporal,medium
punctuality,准时,puntualidad,ponctualité,Pünktlichkeit,пунктуальность,시간-엄수,دقة-المواعيد,temporal,high
inside,内部,dentro,intérieur,innen,внутри,안,داخل,spatial,low
outside,外部,fuera,extérieur,außen,снаружи,밖,خارج,spatial,low
boundary,边界,límite,frontière,Grenze,граница,경계,حدود,spatial,medium
threshold,门槛,umbral,seuil,Schwelle,порог,문턱,عتبة,spatial,high
gateway,大门,puerta,portail,Tor,ворота,관문,بوابة,spatial,medium
above,上面,arriba,au-dessus,oben,над,위,فوق,spatial,low
below,下面,abajo,en-dessous,unten,под,아래,تحت,spatial,low
between,之间,entre,entre,zwischen,между,사이,بين,spatial,low
among,当中,entre,parmi,unter,среди,가운데,من-بين,spatial,medium
beside,旁边,al-lado,à-côté,neben,рядом,옆,بجانب,spatial,low
north,北,norte,nord,Norden,север,북,شمال,spatial,low
south,南,sur,sud,Süden,юг,남,جنوب,spatial,low
east,东,este,est,Osten,восток,동,شرق,spatial,low
west,西,oeste,ouest,Westen,запад,서,غرب,spatial,low
direction,方向,dirección,direction,Richtung,направление,방향,اتجاه,spatial,low
distance,距离,distancia,distance,Entfernung,расстояние,거리,مسافة,spatial,low
proximity,接近,proximidad,proximité,Nähe,близость,근접,قرب,spatial,medium
closeness,亲近,cercanía,proximité,Nähe,близость,가까움,قرب,spatial,medium
remoteness,遥远,lejanía,éloignement,Abgelegenheit,удалённость,멀리-떨어짐,بعد,spatial,medium
home,家,hogar,maison,Heim,дом,집,منزل,spatial,medium
homeland,祖国,patria,patrie,Heimat,родина,고향,وطن,spatial,high
foreign,外国,extranjero,étranger,fremd,иностранный,외국의,أجنبي,spatial,medium
domestic,国内,doméstico,domestique,heimisch,отечественный,국내의,محلي,spatial,medium
local,当地,local,local,lokal,местный,지역의,محلي,spatial,low
money,钱,dinero,argent,Geld,деньги,돈,مال,economic,low
wealth,财富,riqueza,richesse,Reichtum,богатство,부,ثروة,economic,medium
poverty,贫困,pobreza,pauvreté,Armut,бедность,빈곤,فقر,economic,medium
debt,债务,deuda,dette,Schuld,долг,빚,دين,economic,medium
credit,信用,crédito,crédit,Kredit,кредит,신용,ائتمان,economic,medium
buy,买,comprar,acheter,kaufen,покупать,사다,يشتري,economic,low
sell,卖,vender,vendre,verkaufen,продавать,팔다,يبيع,economic,low
trade,贸易,comercio,commerce,Handel,торговля,무역,تجارة,economic,low
barter,以物易物,trueque,troc,Tauschhandel,бартер,물물-교환,مقايضة,economic,high
exchange,交换,intercambio,échange,Austausch,обмен,교환,تبادل,economic,low
expensive,昂贵,caro,cher,teuer,дорогой,비싼,غالي,economic,low
cheap,便宜,barato,bon-marché,billig,дешёвый,싼,رخيص,economic,low
valuable,有价值,valioso,précieux,wertvoll,ценный,가치-있는,قيم,economic,medium
worthless,无价值,sin-valor,sans-valeur,wertlos,бесполезный,가치-없는,عديم-القيمة,economic,medium
profit,利润,ganancia,profit,Gewinn,прибыль,이익,ربح,economic,low
loss,损失,pérdida,perte,Verlust,убыток,손실,خسارة,economic,low
investment,投资,inversión,investissement,Investition,инвестиция,투자,استثمار,economic,low
savings,储蓄,ahorros,épargne,Ersparnisse,сбережения,저축,مدخرات,economic,medium
work,工作,trabajo,travail,Arbeit,работа,일,عمل,economic,low
labor,劳动,labor,labeur,Arbeit,труд,노동,عمل,economic,medium
leisure,休闲,ocio,loisir,Freizeit,досуг,여가,ترفيه,economic,medium
rest,休息,descanso,repos,Ruhe,отдых,휴식,راحة,economic,low
retirement,退休,jubilación,retraite,Ruhestand,выход-на-пенсию,은퇴,تقاعد,economic,medium
king,国王,rey,roi,König,король,왕,ملك,power,medium
emperor,皇帝,emperador,empereur,Kaiser,император,황제,إمبراطور,power,high
president,总统,presidente,président,Präsident,президент,대통령,رئيس,power,low
leader,领导,líder,leader,Führer,лидер,지도자,قائد,power,medium
chief,首领,jefe,chef,Häuptling,вождь,추장,زعيم,power,medium
power,权力,poder,pouvoir,Macht,власть,권력,قوة,power,medium
authority,权威,autoridad,autorité,Autorität,авторитет,권위,سلطة,power,medium
control,控制,control,contrôle,Kontrolle,контроль,통제,سيطرة,power,medium
dominance,统治,dominio,domination,Herrschaft,господство,지배,هيمنة,power,high
submission,服从,sumisión,soumission,Unterwerfung,подчинение,복종,خضوع,power,high
law,法律,ley,loi,Gesetz,закон,법,قانون,power,low
rule,规则,regla,règle,Regel,правило,규칙,قاعدة,power,low
regulation,规定,regulación,règlement,Vorschrift,регулирование,규정,تنظيم,power,low
prohibition,禁止,prohibición,interdiction,Verbot,запрет,금지,حظر,power,medium
permission,许可,permiso,permission,Erlaubnis,разрешение,허가,إذن,power,low
obey,服从,obedecer,obéir,gehorchen,повиноваться,복종하다,يطيع,power,medium
command,命令,ordenar,commander,befehlen,командовать,명령하다,يأمر,power,medium
order,命令,orden,ordre,Befehl,приказ,명령,أمر,power,medium
request,请求,solicitud,demande,Anfrage,запрос,요청,طلب,power,low
suggest,建议,sugerir,suggérer,vorschlagen,предлагать,제안하다,يقترح,power,low
freedom,自由,libertad,liberté,Freiheit,свобода,자유,حرية,power,high
constraint,约束,restricción,contrainte,Einschränkung,ограничение,제약,قيد,power,medium
autonomy,自主,autonomía,autonomie,Autonomie,автономия,자율,استقلالية,power,high
dependence,依赖,dependencia,dépendance,Abhängigkeit,зависимость,의존,اعتماد,power,medium
anxiety,焦虑,ansiedad,anxiété,Angst,тревога,불안,قلق,emotional,medium
stress,压力,estrés,stress,Stress,стресс,스트레스,ضغط,emotional,medium
depression,抑郁,depresión,dépression,Depression,депрессия,우울증,اكتئاب,emotional,medium
trauma,创伤,trauma,traumatisme,Trauma,травма,트라우마,صدمة,emotional,medium
healing,治愈,curación,guérison,Heilung,исцеление,치유,شفاء,emotional,medium
pride,骄傲,orgullo,fierté,Stolz,гордость,자부심,فخر,emotional,high
humility,谦虚,humildad,humilité,Demut,смирение,겸손,تواضع,emotional,high
arrogance,傲慢,arrogancia,arrogance,Arroganz,высокомерие,오만,غطرسة,emotional,medium
modesty,谦逊,modestia,modestie,Bescheidenheit,скромность,겸허,تواضع,emotional,high
envy,嫉妒,envidia,envie,Neid,зависть,시기,حسد,emotional,medium
jealousy,妒忌,celos,jalousie,Eifersucht,ревность,질투,غيرة,emotional,medium
admiration,钦佩,admiración,admiration,Bewunderung,восхищение,존경,إعجاب,emotional,medium
resentment,怨恨,resentimiento,ressentiment,Groll,обида,원망,استياء,emotional,medium
gratitude,感激,gratitud,gratitude,Dankbarkeit,благодарность,감사,امتنان,emotional,high
appreciation,欣赏,apreciación,appréciation,Wertschätzung,признательность,감상,تقدير,emotional,medium
thankfulness,感恩,agradecimiento,reconnaissance,Dankbarkeit,благодарность,고마움,شكر,emotional,high
loneliness,孤独,soledad,solitude,Einsamkeit,одиночество,외로움,وحدة,emotional,medium
solitude,独处,soledad,solitude,Einsamkeit,уединение,고독,عزلة,emotional,high
companionship,陪伴,compañía,compagnie,Gesellschaft,общение,동행,رفقة,emotional,medium
belonging,归属,pertenencia,appartenance,Zugehörigkeit,принадлежность,소속감,انتماء,emotional,high
grief,悲痛,pena,chagrin,Trauer,горе,슬픔,حزن,emotional,medium
mourning,哀悼,duelo,deuil,Trauer,траур,애도,حداد,emotional,high
sorrow,忧伤,tristeza,peine,Kummer,печаль,슬픔,حزن,emotional,medium
melancholy,忧郁,melancolía,mélancolie,Melancholie,меланхолия,우울,كآبة,emotional,high
