chinese,english,spanish,french,german,russian,korean,arabic
匹,match|horse,coincidir|caballo,correspondre|cheval,passen|pferd,подходить|лошадь,맞다|말,مطابقة|حصان
升,rise|liter,subir|litro,monter|litre,steigen|liter,подниматься|литр,오르다|리터,صعد|لتر
尤,especially|blame,especialmente|culpar,surtout|blâmer,besonders|tadeln,особенно|винить,특히|비난,خاصة|لام
巨,huge|giant,enorme|gigante,énorme|géant,riesig|riese,огромный|гигант,거대한|거인,ضخم|عملاق
凶,fierce|evil,feroz|malvado,féroce|mal,wild|böse,свирепый|злой,사나운|악한,شرس|شر
办,do|handle,hacer|manejar,faire|gérer,tun|handhaben,делать|обращаться,하다|다루다,فعل|تعامل
开,open|start,abrir|empezar,ouvrir|commencer,öffnen|anfangen,открывать|начинать,열다|시작,فتح|ابدأ
朩,tree variant,variante de árbol,variante d'arbre,baum-variante,вариант дерева,나무 변형,متغير الشجرة
⺧,heart variant,variante de corazón,variante de cœur,herz-variante,вариант сердца,마음 변형,متغير القلب
勾,hook|seduce,gancho|seducir,crochet|séduire,haken|verführen,крючок|соблазнить,갈고리|유혹,خطاف|أغوى
母,mother,madre,mère,mutter,мать,어머니,أم
生,birth|life,nacimiento|vida,naissance|vie,geburt|leben,рождение|жизнь,출생|생명,ولادة|حياة
田,field|farm,campo|granja,champ|ferme,feld|bauernhof,поле|ферма,밭|농장,حقل|مزرعة
皿,dish|plate,plato|plato,plat|assiette,schüssel|teller,блюдо|тарелка,그릇|접시,طبق|صحن
目,eye|see,ojo|ver,œil|voir,auge|sehen,глаз|видеть,눈|보다,عين|رأى
矢,arrow|oath,flecha|juramento,flèche|serment,pfeil|eid,стрела|клятва,화살|맹세,سهم|قسم
石,stone|rock,piedra|roca,pierre|roche,stein|fels,камень|скала,돌|바위,حجر|صخرة
示,show|reveal,mostrar|revelar,montrer|révéler,zeigen|offenbaren,показать|раскрывать,보이다|드러내다,أظهر|كشف
禾,grain|crop,grano|cultivo,grain|récolte,getreide|ernte,зерно|урожай,곡식|작물,حبوب|محصول
鸟,bird|fly,pájaro|volar,oiseau|voler,vogel|fliegen,птица|летать,새|날다,طائر|طار
衤,clothing radical,radical de ropa,radical de vêtement,kleider-radikal,радикал одежды,옷 부수,جذر الملابس
玉,jade|precious,jade|precioso,jade|précieux,jade|kostbar,нефрит|драгоценный,옥|귀한,يشب|ثمين
甘,sweet|willing,dulce|dispuesto,doux|disposé,süß|bereit,сладкий|готовый,달콤한|기꺼이,حلو|راغب
用,use|employ,usar|emplear,utiliser|employer,verwenden|beschäftigen,использовать|нанимать,사용|고용,استخدم|وظف
白,white|clear,blanco|claro,blanc|clair,weiß|klar,белый|ясный,흰|명확한,أبيض|واضح
立,stand|establish,pararse|establecer,se tenir|établir,stehen|gründen,стоять|устанавливать,서다|세우다,وقف|أسس
龙,dragon|imperial,dragón|imperial,dragon|impérial,drache|kaiserlich,дракон|имперский,용|황실,تنين|إمبراطوري
钅,metal radical,radical de metal,radical de métal,metall-radikal,радикал металла,금속 부수,جذر المعدن
瓜,melon|gourd,melón|calabaza,melon|courge,melone|kürbis,дыня|тыква,참외|박,شمام|قرع
矛,spear|lance,lanza|lanza,lance|lance,speer|lanze,копьё|копьё,창|창,رمح|رمح
玄,dark|mysterious,oscuro|misterioso,sombre|mystérieux,dunkel|geheimnisvoll,тёмный|таинственный,어두운|신비로운,مظلم|غامض
皮,skin|leather,piel|cuero,peau|cuir,haut|leder,кожа|кожа,피부|가죽,جلد|جلد
穴,cave|hole,cueva|agujero,grotte|trou,höhle|loch,пещера|дыра,굴|구멍,كهف|حفرة
氺,water variant,variante de agua,variante d'eau,wasser-variante,вариант воды,물 변형,متغير الماء
疋,foot|bolt,pie|perno,pied|boulon,fuß|bolzen,нога|болт,발|볼트,قدم|مسمار
疒,sickness radical,radical de enfermedad,radical de maladie,krankheits-radikal,радикал болезни,병 부수,جذر المرض
癶,footsteps,pasos,pas,schritte,шаги,발걸음,خطوات
罒,net|eye,red|ojo,filet|œil,netz|auge,сеть|глаз,그물|눈,شبكة|عين
乍,sudden|work,repentino|trabajar,soudain|travailler,plötzlich|arbeiten,внезапно|работать,갑자기|일하다,مفاجئ|عمل
丙,third|fire,tercero|fuego,troisième|feu,dritte|feuer,третий|огонь,셋째|불,ثالث|نار
乐,music|joy,música|alegría,musique|joie,musik|freude,музыка|радость,음악|기쁨,موسيقى|فرح
兄,elder brother,hermano mayor,frère aîné,älterer bruder,старший брат,형,أخ أكبر
四,four,cuatro,quatre,vier,четыре,넷,أربعة
央,center|middle,centro|medio,centre|milieu,zentrum|mitte,центр|середина,중앙|가운데,مركز|وسط
它,it|other,eso|otro,il|autre,es|andere,оно|другой,그것|다른,إنه|آخر
甲,armor|first,armadura|primero,armure|premier,rüstung|erste,броня|первый,갑옷|첫째,درع|أول
刍,grass|fodder,hierba|forraje,herbe|fourrage,gras|futter,трава|корм,풀|사료,عشب|علف
戋,small|narrow,pequeño|estrecho,petit|étroit,klein|schmal,маленький|узкий,작은|좁은,صغير|ضيق
且,and|moreover,y|además,et|de plus,und|außerdem,и|кроме того,그리고|게다가,و|علاوة على ذلك
丘,hill|mound,colina|montículo,colline|monticule,hügel|hügel,холм|холм,언덕|둔덕,تل|تل
业,business|karma,negocio|karma,affaire|karma,geschäft|karma,бизнес|карма,사업|업,عمل|كارما
东,east,este,est,osten,восток,동,شرق
乎,question particle,partícula interrogativa,particule interrogative,fragepartikel,вопросительная частица,어조사,أداة استفهام
令,order|command,orden|comando,ordre|commande,befehl|kommando,приказ|команда,명령|지시,أمر|قيادة
冬,winter,invierno,hiver,winter,зима,겨울,شتاء
出,exit|produce,salir|producir,sortir|produire,ausgehen|produzieren,выходить|производить,나가다|생산,خرج|أنتج
包,wrap|package,envolver|paquete,envelopper|paquet,umhüllen|paket,обёртывать|пакет,싸다|포장,لف|حزمة
北,north,norte,nord,norden,север,북,شمال
占,occupy|divine,ocupar|divino,occuper|divin,besetzen|göttlich,занимать|божественный,점유|점치다,احتل|إلهي
去,go|leave,ir|dejar,aller|partir,gehen|verlassen,идти|оставлять,가다|떠나다,ذهب|غادر
古,ancient|old,antiguo|viejo,ancien|vieux,alt|alt,древний|старый,고대|옛,قديم|قديم
句,sentence|phrase,oración|frase,phrase|phrase,satz|phrase,предложение|фраза,문장|구,جملة|عبارة
只,only|just,solo|justo,seulement|juste,nur|gerade,только|только,오직|단지,فقط|فقط
可,can|may,poder|poder,pouvoir|peut,können|darf,мочь|может,할 수|아마,يمكن|قد
宁,rather|peaceful,mejor|pacífico,plutôt|paisible,lieber|friedlich,скорее|мирный,차라리|평화로운,بدلا|سلمي
旦,dawn|morning,amanecer|mañana,aube|matin,morgendämmerung|morgen,рассвет|утро,새벽|아침,فجر|صباح
正,correct|straight,correcto|recto,correct|droit,richtig|gerade,правильный|прямой,바른|곧은,صحيح|مستقيم
申,report|extend,reportar|extender,rapporter|étendre,berichten|erweitern,сообщать|расширять,신고|연장,تقرير|مدد
头,head|top,cabeza|parte superior,tête|haut,kopf|oben,голова|верх,머리|위,رأس|أعلى
市,market|city,mercado|ciudad,marché|ville,markt|stadt,рынок|город,시장|도시,سوق|مدينة
布,cloth|spread,tela|extender,tissu|étendre,tuch|ausbreiten,ткань|распространять,천|펼치다,قماش|انتشر
平,flat|peaceful,plano|pacífico,plat|paisible,flach|friedlich,плоский|мирный,평평한|평화로운,مسطح|سلمي
未,not yet,aún no,pas encore,noch nicht,ещё не,아직,لم يحن بعد
末,end|tip,fin|punta,fin|bout,ende|spitze,конец|кончик,끝|끝,نهاية|طرف
本,root|origin,raíz|origen,racine|origine,wurzel|ursprung,корень|происхождение,뿌리|근본,جذر|أصل
半,half,mitad,moitié,hälfte,половина,반,نصف
台,platform|stage,plataforma|escenario,plateforme|scène,plattform|bühne,платформа|сцена,대|무대,منصة|مرحلة
必,must|necessary,debe|necesario,doit|nécessaire,muss|notwendig,должен|необходимый,반드시|필요,يجب|ضروري
电,electricity|lightning,electricidad|rayo,électricité|éclair,elektrizität|blitz,электричество|молния,전기|번개,كهرباء|برق
术,art|method,arte|método,art|méthode,kunst|methode,искусство|метод,술|방법,فن|طريقة
兰,orchid|elegant,orquídea|elegante,orchidée|élégant,orchidee|elegant,орхидея|элегантный,난초|우아한,أوركيد|أنيق
击,strike|attack,golpear|atacar,frapper|attaquer,schlagen|angreifen,ударить|атаковать,치다|공격,ضرب|هاجم
失,lose|miss,perder|fallar,perdre|manquer,verlieren|verpassen,терять|пропускать,잃다|놓치다,فقد|فوت
尼,nun|near,monja|cerca,religieuse|près,nonne|nah,монахиня|рядом,수녀|가까운,راهبة|قريب
𤴔,ancient variant,variante antigua,variante ancienne,alte variante,древний вариант,고대 변형,متغير قديم
卡,card|stuck,tarjeta|atascado,carte|coincé,karte|stecken,карта|застрял,카드|끼인,بطاقة|عالق
另,other|separate,otro|separar,autre|séparer,andere|getrennt,другой|отдельный,다른|분리,آخر|منفصل
斥,scold|repel,regañar|repeler,gronder|repousser,schelten|abwehren,ругать|отталкивать,꾸짖다|배척,وبخ|صد
由,reason|from,razón|de,raison|de,grund|von,причина|от,이유|부터,سبب|من
米,rice|grain,arroz|grano,riz|grain,reis|getreide,рис|зерно,쌀|곡물,أرز|حبوب
糸,silk|thread,seda|hilo,soie|fil,seide|faden,шёлк|нить,실크|실,حرير|خيط
缶,can|jar,lata|frasco,boîte|pot,dose|krug,банка|кувшин,깡통|항아리,علبة|جرة
羊,sheep|goat,oveja|cabra,mouton|chèvre,schaf|ziege,овца|коза,양|염소,خروف|ماعز
⺶,sheep variant,variante de oveja,variante de mouton,schaf-variante,вариант овцы,양 변형,متغير الخروف
⺷,sheep variant,variante de oveja,variante de mouton,schaf-variante,вариант овцы,양 변형,متغير الخروف
老,old|elderly,viejo|anciano,vieux|âgé,alt|ältlich,старый|пожилой,늙은|고령,قديم|مسن
耳,ear|hear,oreja|oír,oreille|entendre,ohr|hören,ухо|слышать,귀|듣다,أذن|سمع
臣,minister|subject,ministro|súbdito,ministre|sujet,minister|untertan,министр|подданный,신하|신민,وزير|رعية
自,self|from,yo|de,soi|de,selbst|von,себя|от,자기|부터,نفس|من
舌,tongue|language,lengua|idioma,langue|langue,zunge|sprache,язык|язык,혀|언어,لسان|لغة
舟,boat|ship,bote|barco,bateau|navire,boot|schiff,лодка|корабль,배|배,قارب|سفينة
血,blood,sangre,sang,blut,кровь,피,دم
行,walk|travel,caminar|viajar,marcher|voyager,gehen|reisen,идти|путешествовать,걷다|여행,مشي|سافر
衣,clothing|cover,ropa|cubrir,vêtement|couvrir,kleidung|bedecken,одежда|покрывать,옷|덮다,ثياب|غطى
页,page|leaf,página|hoja,page|feuille,seite|blatt,страница|лист,페이지|잎,صفحة|ورقة
聿,writing brush,pincel de escribir,pinceau d'écriture,schreibpinsel,кисть для письма,붓,فرشاة الكتابة
虍,tiger stripes,rayas de tigre,rayures de tigre,tigerstreifen,тигровые полосы,호랑이 줄무늬,خطوط النمر
网,net|network,red|red de trabajo,filet|réseau,netz|netzwerk,сеть|сеть,그물|네트워크,شبكة|شبكة
羽,feather|wing,pluma|ala,plume|aile,feder|flügel,перо|крыло,깃털|날개,ريشة|جناح
而,and|but,y|pero,et|mais,und|aber,и|но,그리고|그러나,و|لكن
至,reach|arrive,alcanzar|llegar,atteindre|arriver,erreichen|ankommen,достигать|прибывать,이르다|도착,وصل|وصل
西,west,oeste,ouest,westen,запад,서,غرب
齐,neat|even,ordenado|parejo,ordonné|égal,ordentlich|gleich,аккуратный|ровный,정돈|고른,مرتب|متساو
竹,bamboo,bambú,bambou,bambus,бамбук,대나무,خيزران
⺮,bamboo variant,variante de bambú,variante de bambou,bambus-variante,вариант бамбука,대나무 변형,متغير الخيزران
艮,mountain|stop,montaña|parar,montagne|arrêter,berg|stoppen,гора|остановиться,산|멈추다,جبل|توقف
肉,meat|flesh,carne|carne,viande|chair,fleisch|fleisch,мясо|плоть,고기|살,لحم|لحم
耒,plow|farming,arado|agricultura,charrue|agriculture,pflug|landwirtschaft,плуг|земледелие,쟁기|농업,محراث|زراعة
臼,mortar|pestle,mortero|maja,mortier|pilon,mörser|stößel,ступка|пестик,절구|공이,هاون|مدقة
色,color|appearance,color|apariencia,couleur|apparence,farbe|erscheinung,цвет|внешность,색|외모,لون|مظهر
虫,insect|worm,insecto|gusano,insecte|ver,insekt|wurm,насекомое|червь,벌레|벌레,حشرة|دودة
覀,west variant,variante de oeste,variante d'ouest,west-variante,вариант запада,서 변형,متغير الغرب
尧,high|eminent,alto|eminente,haut|éminent,hoch|hervorragend,высокий|выдающийся,높은|탁월한,عالي|بارز
屰,disobey|reverse,desobedecer|reverso,désobéir|inverse,ungehorsam|umgekehrt,непослушный|обратный,거역|역,عصى|عكس
各,each|every,cada|cada,chaque|chaque,jeder|jeder,каждый|каждый,각|각각,كل|كل
合,combine|together,combinar|juntos,combiner|ensemble,kombinieren|zusammen,комбинировать|вместе,합치다|함께,دمج|معا
吉,lucky|good,afortunado|bueno,chanceux|bon,glücklich|gut,удачливый|хорошо,운이 좋은|좋은,محظوظ|جيد
向,toward|direction,hacia|dirección,vers|direction,zu|richtung,к|направление,향하여|방향,نحو|اتجاه
吕,spine|backbone,espina|columna,épine|colonne,wirbelsäule|rückgrat,позвоночник|хребет,척추|등뼈,عمود فقري|عمود فقري
曲,curve|song,curva|canción,courbe|chanson,kurve|lied,кривая|песня,곡선|노래,منحنى|أغنية
交,cross|exchange,cruzar|intercambiar,croiser|échanger,kreuzen|austauschen,пересекать|обмениваться,교차|교환,عبر|تبادل
共,together|common,juntos|común,ensemble|commun,zusammen|gemeinsam,вместе|общий,함께|공통,معا|مشترك
寺,temple|monastery,templo|monasterio,temple|monastère,tempel|kloster,храм|монастырь,절|수도원,معبد|دير
并,and|together,y|juntos,et|ensemble,und|zusammen,и|вместе,그리고|함께,و|معا
庄,village|solemn,aldea|solemne,village|solennel,dorf|feierlich,деревня|торжественный,마을|엄숙한,قرية|رسمي
囟,fontanel|skull,fontanela|cráneo,fontanelle|crâne,fontanelle|schädel,родничок|череп,숫구멍|두개골,اليافوخ|جمجمة
式,style|ceremony,estilo|ceremonia,style|cérémonie,stil|zeremonie,стиль|церемония,스타일|의식,أسلوب|حفل
豕,pig|boar,cerdo|jabalí,cochon|sanglier,schwein|eber,свинья|кабан,돼지|멧돼지,خنزير|خنزير بري
酉,rooster|wine,gallo|vino,coq|vin,hahn|wein,петух|вино,닭|술,ديك|نبيذ
谷,valley|grain,valle|grano,vallée|grain,tal|getreide,долина|зерно,골짜기|곡물,وادي|حبوب
豆,bean|vessel,frijol|recipiente,haricot|récipient,bohne|gefäß,боб|сосуд,콩|그릇,فول|وعاء
足,foot|enough,pie|suficiente,pied|assez,fuß|genug,нога|достаточно,발|충분한,قدم|كافي
邑,city|settlement,ciudad|asentamiento,ville|établissement,stadt|siedlung,город|поселение,도시|정착지,مدينة|مستوطنة
麦,wheat|barley,trigo|cebada,blé|orge,weizen|gerste,пшеница|ячмень,밀|보리,قمح|شعير
豸,beast|badger,bestia|tejón,bête|blaireau,bestie|dachs,зверь|барсук,짐승|오소리,وحش|غرير
角,horn|corner,cuerno|esquina,corne|coin,horn|ecke,рог|угол,뿔|모서리,قرن|زاوية
言,words|speech,palabras|habla,paroles|discours,worte|rede,слова|речь,말|언어,كلمات|خطاب
赤,red|bare,rojo|desnudo,rouge|nu,rot|nackt,красный|голый,빨간|벌거벗은,أحمر|عاري
辛,bitter|hard,amargo|duro,amer|dur,bitter|hart,горький|твёрдый,쓴|어려운,مر|صعب
辰,morning|time,mañana|tiempo,matin|temps,morgen|zeit,утро|время,아침|시간,صباح|وقت
釆,distinguish|separate,distinguir|separar,distinguer|séparer,unterscheiden|trennen,различать|отделять,구별|분리,تمييز|فصل
龟,turtle|tortoise,tortuga|tortuga,tortue|tortue,schildkröte|schildkröte,черепаха|черепаха,거북이|거북,سلحفاة|سلحفاة
走,walk|run,caminar|correr,marcher|courir,gehen|laufen,идти|бежать,걷다|달리다,مشي|جري
身,body|self,cuerpo|yo,corps|soi,körper|selbst,тело|себя,몸|자기,جسد|نفس
卤,salt|crude,sal|crudo,sel|cru,salz|roh,соль|сырой,소금|거친,ملح|خام
里,inside|village,dentro|aldea,dedans|village,innen|dorf,внутри|деревня,안|마을,داخل|قرية
舛,contrary|opposite,contrario|opuesto,contraire|opposé,gegenteilig|gegenteil,противоположный|противоположный,반대|반대,مخالف|معاكس
甫,nursery|cultivate,vivero|cultivar,pépinière|cultiver,baumschule|kultivieren,питомник|выращивать,육묘장|기르다,مشتل|زرع
良,good|fine,bueno|fino,bon|fin,gut|fein,хороший|хорошо,좋은|훌륭한,جيد|جميل
员,member|round,miembro|redondo,membre|rond,mitglied|rund,член|круглый,회원|둥근,عضو|مستدير
佥,all|together,todos|juntos,tous|ensemble,alle|zusammen,все|вместе,모두|함께,جميع|معا
夆,abundance,abundancia,abondance,fülle,изобилие,풍요,وفرة
孚,trust|belief,confianza|creencia,confiance|croyance,vertrauen|glaube,доверие|вера,신뢰|믿음,ثقة|اعتقاد
㐬,flow|stream,fluir|arroyo,couler|ruisseau,fließen|bach,течь|поток,흐르다|시냇물,تدفق|جدول
呙,spiral|nested,espiral|anidado,spirale|niché,spiral|verschachtelt,спираль|вложенный,나선|중첩,حلزوني|متداخل
肙,ancient form,forma antigua,forme ancienne,alte form,древняя форма,고대 형태,شكل قديم
㕻,ancient variant,variante antigua,variante ancienne,alte variante,древний вариант,고대 변형,متغير قديم
坙,ancient form,forma antigua,forme ancienne,alte form,древняя форма,고대 형태,شكل قديم
奂,brilliant|changing,brillante|cambiante,brillant|changeant,brillant|wechselnd,блестящий|изменяющийся,빛나는|변화,لامع|متغير
雨,rain|water,lluvia|agua,pluie|eau,regen|wasser,дождь|вода,비|물,مطر|ماء
鱼,fish|swim,pez|nadar,poisson|nager,fisch|schwimmen,рыба|плавать,물고기|수영,سمك|سبح
隹,bird|short tail,pájaro|cola corta,oiseau|queue courte,vogel|kurzer schwanz,птица|короткий хвост,새|짧은 꼬리,طائر|ذيل قصير
黾,frog|toad,rana|sapo,grenouille|crapaud,frosch|kröte,лягушка|жаба,개구리|두꺼비,ضفدع|علجوم
齿,tooth|dental,diente|dental,dent|dentaire,zahn|dental,зуб|зубной,이빨|치과,سن|أسنان
金,metal|gold,metal|oro,métal|or,metall|gold,металл|золото,금|쇠,معدن|ذهب
青,blue|green,azul|verde,bleu|vert,blau|grün,синий|зелёный,파란|초록,أزرق|أخضر
非,not|wrong,no|incorrecto,pas|faux,nicht|falsch,не|неправильно,아니다|틀린,ليس|خطأ
阜,mound|hill,montículo|colina,monticule|colline,hügel|hügel,холм|холм,언덕|언덕,تل|تل
隶,servant|slave,sirviente|esclavo,serviteur|esclave,diener|sklave,слуга|раб,하인|노예,خادم|عبد
幷,combine|join,combinar|unir,combiner|joindre,kombinieren|verbinden,комбинировать|присоединяться,합치다|결합,دمج|انضم
易,easy|change,fácil|cambiar,facile|changer,einfach|ändern,лёгкий|изменять,쉬운|바꾸다,سهل|غير
東,east,este,est,osten,восток,동,شرق
责,duty|blame,deber|culpar,devoir|blâmer,pflicht|tadeln,долг|винить,의무|비난,واجب|لام
奉,offer|serve,ofrecer|servir,offrir|servir,anbieten|dienen,предлагать|служить,바치다|섬기다,عرض|خدم
尚,still|esteem,todavía|estimar,encore|estimer,noch|schätzen,ещё|уважать,아직|존중,لا يزال|احترم
龺,ancient form,forma antigua,forme ancienne,alte form,древняя форма,고대 형태,شكل قديم
其,his|that,su|ese,son|ce,sein|das,его|тот,그의|그,له|ذلك
食,food|eat,comida|comer,nourriture|manger,nahrung|essen,еда|есть,음식|먹다,طعام|أكل
鬼,ghost|spirit,fantasma|espíritu,fantôme|esprit,geist|geist,призрак|дух,귀신|영혼,شبح|روح
面,face|surface,cara|superficie,visage|surface,gesicht|oberfläche,лицо|поверхность,얼굴|표면,وجه|سطح
首,head|chief,cabeza|jefe,tête|chef,kopf|chef,голова|главный,머리|우두머리,رأس|رئيس
香,fragrant|incense,fragante|incienso,parfumé|encens,duftend|weihrauch,ароматный|благовония,향기로운|향,عطر|بخور
革,leather|reform,cuero|reformar,cuir|réformer,leder|reformieren,кожа|реформировать,가죽|개혁,جلد|إصلاح
韭,leek|chive,puerro|cebollino,poireau|ciboulette,lauch|schnittlauch,лук-порей|шнитт-лук,부추|파,كراث|ثوم معمر
音,sound|music,sonido|música,son|musique,klang|musik,звук|музыка,소리|음악,صوت|موسيقى
骨,bone|skeleton,hueso|esqueleto,os|squelette,knochen|skelett,кость|скелет,뼈|골격,عظم|هيكل عظمي
咸,salty|all,salado|todos,salé|tous,salzig|alle,солёный|все,짠|모든,مالح|جميع
畏,fear|awe,miedo|asombro,peur|crainte,furcht|ehrfurcht,страх|трепет,두려움|경외,خوف|رهبة
畐,full|abundant,lleno|abundante,plein|abondant,voll|reichlich,полный|изобильный,가득|풍부한,مليء|وفير
柬,select|choose,seleccionar|elegir,sélectionner|choisir,auswählen|wählen,выбирать|выбирать,선택|고르다,اختر|اختر
禺,corner|join,esquina|unir,coin|joindre,ecke|verbinden,угол|соединять,모서리|결합,زاوية|انضم
高,high|tall,alto|alto,haut|grand,hoch|groß,высокий|высокий,높은|큰,عالي|طويل
鬥,fight|struggle,luchar|luchar,combattre|lutter,kämpfen|kämpfen,бороться|бороться,싸우다|투쟁,قاتل|صراع
鹿,deer|elk,ciervo|alce,cerf|élan,hirsch|elch,олень|лось,사슴|엘크,غزال|أيل
麻,hemp|flax,cáñamo|lino,chanvre|lin,hanf|flachs,конопля|лён,대마|아마,قنب|كتان
黑,black|dark,negro|oscuro,noir|sombre,schwarz|dunkel,чёрный|тёмный,검은|어두운,أسود|مظلم
黍,millet|grain,mijo|grano,millet|grain,hirse|getreide,просо|зерно,기장|곡물,دخن|حبوب
黄,yellow|emperor,amarillo|emperador,jaune|empereur,gelb|kaiser,жёлтый|император,노란|황제,أصفر|إمبراطور
鼓,drum|encourage,tambor|animar,tambour|encourager,trommel|ermutigen,барабан|поощрять,북|격려,طبل|شجع
鼻,nose|nasal,nariz|nasal,nez|nasal,nase|nasal,нос|носовой,코|비강,أنف|أنفي
巠,fiber|radial,fibra|radial,fibre|radial,faser|radial,волокно|радиальный,섬유|방사상,ألياف|شعاعي