chinese,english,german
# Control dataset for semantic-affinity calibration
# German column contains identical English translations (SA should be 0)
一,one,one
二,two,two
三,three,three
四,four,four
五,five,five
六,six,six
七,seven,seven
八,eight,eight
九,nine,nine
十,ten,ten
百,hundred,hundred
千,thousand,thousand
万,ten thousand,ten thousand
人,person,person
女,woman,woman
男,man,man
子,child,child
母,mother,mother
父,father,father
家,family,family
友,friend,friend
兄,brother,brother
弟,younger brother,younger brother
姐,sister,sister
妹,younger sister,younger sister
夫,husband,husband
妻,wife,wife
儿,son,son
女,daughter,daughter
孙,grandchild,grandchild
天,sky,sky
地,earth,earth
日,sun,sun
月,moon,moon
星,star,star
云,cloud,cloud
雨,rain,rain
雪,snow,snow
风,wind,wind
雷,thunder,thunder
电,lightning,lightning
水,water,water
火,fire,fire
木,tree,tree
金,metal,metal
土,soil,soil
石,stone,stone
冰,ice,ice
气,air,air
光,light,light
暗,darkness,darkness
山,mountain,mountain
川,river,river
海,ocean,ocean
湖,lake,lake
河,stream,stream
池,pond,pond
泉,spring,spring
谷,valley,valley
林,forest,forest
树,tree,tree
花,flower,flower
草,grass,grass
叶,leaf,leaf
根,root,root
枝,branch,branch
果,fruit,fruit
种,seed,seed
大,big,big
小,small,small
高,tall,tall
低,low,low
长,long,long
短,short,short
宽,wide,wide
窄,narrow,narrow
厚,thick,thick
薄,thin,thin
深,deep,deep
浅,shallow,shallow
重,heavy,heavy
轻,light,light
硬,hard,hard
软,soft,soft
新,new,new
旧,old,old
好,good,good
坏,bad,bad
美,beautiful,beautiful
丑,ugly,ugly
强,strong,strong
弱,weak,weak
快,fast,fast
慢,slow,slow
早,early,early
晚,late,late
多,many,many
少,few,few
全,complete,complete
空,empty,empty
满,full,full
真,true,true
假,false,false
对,correct,correct
错,wrong,wrong
热,hot,hot
冷,cold,cold
暖,warm,warm
凉,cool,cool
干,dry,dry
湿,wet,wet
明,bright,bright
暗,dark,dark
清,clear,clear
浊,murky,murky
净,clean,clean
脏,dirty,dirty
上,up,up
下,down,down
左,left,left
右,right,right
前,front,front
后,back,back
内,inside,inside
外,outside,outside
东,east,east
西,west,west
南,south,south
北,north,north
中,middle,middle
边,edge,edge
角,corner,corner
顶,top,top
底,bottom,bottom
红,red,red
蓝,blue,blue
黄,yellow,yellow
绿,green,green
白,white,white
黑,black,black
灰,gray,gray
紫,purple,purple
橙,orange,orange
粉,pink,pink
棕,brown,brown
金,golden,golden
银,silver,silver
爱,love,love
恨,hate,hate
喜,joy,joy
怒,anger,anger
哀,sorrow,sorrow
乐,happiness,happiness
悲,sadness,sadness
怕,fear,fear
愁,worry,worry
急,anxious,anxious
静,calm,calm
安,peaceful,peaceful
忙,busy,busy
闲,idle,idle
累,tired,tired
困,sleepy,sleepy
醒,awake,awake
笑,laugh,laugh
哭,cry,cry
生,life,life
死,death,death
病,sick,sick
健,healthy,healthy
痛,pain,pain
伤,injury,injury
药,medicine,medicine
医,doctor,doctor
院,hospital,hospital
治,cure,cure
吃,eat,eat
喝,drink,drink
睡,sleep,sleep
醒,wake,wake
起,rise,rise
坐,sit,sit
站,stand,stand
躺,lie,lie
走,walk,walk
跑,run,run
飞,fly,fly
游,swim,swim
跳,jump,jump
爬,climb,climb
滚,roll,roll
转,turn,turn
停,stop,stop
动,move,move
静,still,still
说,speak,speak
听,hear,hear
看,see,see
想,think,think
知,know,know
忘,forget,forget
记,remember,remember
学,learn,learn
教,teach,teach
读,read,read
写,write,write
画,draw,draw
唱,sing,sing
跳,dance,dance
玩,play,play
工,work,work
休,rest,rest
睡,sleep,sleep
书,book,book
笔,pen,pen
纸,paper,paper
墨,ink,ink
字,character,character
词,word,word
句,sentence,sentence
文,writing,writing
诗,poem,poem
歌,song,song
画,painting,painting
图,picture,picture
桌,table,table
椅,chair,chair
床,bed,bed
柜,cabinet,cabinet
门,door,door
窗,window,window
墙,wall,wall
房,house,house
屋,room,room
楼,building,building
塔,tower,tower
桥,bridge,bridge
路,road,road
街,street,street
巷,alley,alley
园,garden,garden
场,field,field
车,car,car
船,boat,boat
飞,plane,plane
马,horse,horse
牛,cow,cow
羊,sheep,sheep
猪,pig,pig
狗,dog,dog
猫,cat,cat
鸟,bird,bird
鱼,fish,fish
虫,insect,insect
蛇,snake,snake
龙,dragon,dragon
虎,tiger,tiger
象,elephant,elephant
狮,lion,lion
熊,bear,bear
鹿,deer,deer
兔,rabbit,rabbit
鼠,mouse,mouse
鸡,chicken,chicken
鸭,duck,duck
鹅,goose,goose
手,hand,hand
脚,foot,foot
头,head,head
发,hair,hair
脸,face,face
眼,eye,eye
耳,ear,ear
鼻,nose,nose
口,mouth,mouth
舌,tongue,tongue
牙,tooth,tooth
颈,neck,neck
肩,shoulder,shoulder
臂,arm,arm
肘,elbow,elbow
腕,wrist,wrist
指,finger,finger
掌,palm,palm
背,back,back
胸,chest,chest
腹,belly,belly
腰,waist,waist
腿,leg,leg
膝,knee,knee
踝,ankle,ankle
趾,toe,toe
心,heart,heart
肺,lung,lung
肝,liver,liver
胃,stomach,stomach
肠,intestine,intestine
骨,bone,bone
肉,flesh,flesh
血,blood,blood
皮,skin,skin
饭,rice,rice
面,noodle,noodle
菜,vegetable,vegetable
肉,meat,meat
鱼,fish,fish
蛋,egg,egg
奶,milk,milk
茶,tea,tea
酒,wine,wine
油,oil,oil
盐,salt,salt
糖,sugar,sugar
醋,vinegar,vinegar
酱,sauce,sauce
汤,soup,soup
饼,cake,cake
糕,pastry,pastry
果,fruit,fruit
瓜,melon,melon
豆,bean,bean
春,spring,spring
夏,summer,summer
秋,autumn,autumn
冬,winter,winter
年,year,year
月,month,month
日,day,day
时,hour,hour
分,minute,minute
秒,second,second
今,today,today
昨,yesterday,yesterday
明,tomorrow,tomorrow
早,morning,morning
午,noon,noon
晚,evening,evening
夜,night,night
